Item,Link,Price (CAD)
12V DC Motor,https://www.aliexpress.com/item/1005009213371004.html,6.23
M15 Pulleys,https://www.aliexpress.com/item/1005009007535612.html,12.99
6mm ID Bearings,https://www.aliexpress.com/item/1005009062156404.html,4.59
Super Glue,https://www.aliexpress.com/item/1005009754258898.html,6.10
Steel Cable,https://www.aliexpress.com/item/1005009960946600.html,10.58
ESP32-S3,https://www.aliexpress.com/item/1005007523988592.html,
i2c OLED,https://www.aliexpress.com/item/1005006085392157.html,3.28
MPU6050 Accelerometer,https://www.aliexpress.com/item/1005008796700745.html,3.18
2x 20g-10kg Force Sensor,https://www.aliexpress.com/item/1005007061286544.html,10.78
TB6612FNG Motor Driver,https://www.aliexpress.com/item/1005005756666126.html,2.33
12V 3A Barrel Jack,https://www.aliexpress.com/item/1005010390772322.html,5.21
Barrel to Terminal Adapter,https://www.aliexpress.com/item/1005009902663897.html,6.73
,,
,,
,,
,,
,,
,"Total (USD, with tax)",51.84
